idsolicitud,tipogarantia,cargafamiliar,riesgoedadmax,antecedentescred,recorpagoult,niveldesarr,tiempo_neg,control_ingegre,vent_totdec,compsubsector,totunidfamiliar,totunidempresa,total
"000002","2","2","3","4","5","3","4","2","0","2","7","20","27"
"000004","2","4","3","4","7","3","4","3","2","2","9","25","34"
"000005","2","2","3","4","7","3","4","2","0","4","7","24","31"
"000006","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000009","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000010","2","1","3","4","7","3","3","3","2","2","6","24","30"
"000011","2","1","3","4","7","2","4","2","0","2","6","21","27"
"000012","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000013","2","2","3","4","7","4","3","3","2","2","7","25","32"
"000015","2","2","3","4","2","3","4","2","0","4","7","19","26"
"000016","2","4","3","4","7","3","4","2","0","2","9","22","31"
"000017","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000018","2","1","3","4","7","3","4","3","0","2","6","23","29"
"000019","2","1","3","4","7","3","4","2","0","4","6","24","30"
"000020","2","1","3","4","7","3","4","2","0","2","6","22","28"
"000021","2","2","1","1","7","3","4","2","0","4","5","21","26"
"000022","2","4","3","4","7","3","3","2","0","2","9","21","30"
"000023","2","2","1","1","7","3","4","2","0","4","5","21","26"
"000025","2","4","3","4","7","3","3","2","0","4","9","23","32"
"000028","2","1","3","4","7","3","4","3","2","2","6","25","31"
"000029","2","2","3","4","7","3","3","2","0","4","7","24","31"
"000030","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000032","2","1","3","4","7","4","3","2","0","2","6","22","28"
"000033","2","4","3","5","7","3","4","3","0","2","9","24","33"
"000034","2","1","3","4","7","3","2","2","0","2","6","20","26"
"000035","2","1","3","4","7","3","4","2","0","2","6","22","28"
"000036","2","4","1","4","7","3","4","2","0","2","7","22","29"
"000037","2","1","3","4","7","3","4","3","0","2","6","23","29"
"000038","2","4","3","4","7","3","4","3","0","2","9","23","32"
"000040","2","1","3","4","7","3","4","3","2","2","6","25","31"
"000042","2","2","3","4","1","3","4","1","0","2","7","15","22"
"000043","4","2","3","4","7","3","4","2","0","2","9","22","31"
"000044","2","1","3","4","7","3","4","2","0","2","6","22","28"
"000045","2","4","1","4","7","3","4","3","0","2","7","23","30"
"000046","2","2","3","5","7","3","4","3","2","2","7","26","33"
"000047","2","4","3","4","7","3","4","2","0","2","9","22","31"
"000048","2","1","3","1","7","3","3","2","0","2","6","17","23"
"000049","2","1","3","4","7","3","4","2","0","2","6","22","28"
"000053","2","4","3","4","7","3","4","2","0","2","9","22","31"
"000054","2","1","3","5","7","3","3","3","2","2","6","25","31"
"000055","2","2","3","4","7","3","3","2","0","2","7","21","28"
"000056","2","2","3","4","7","3","3","3","2","2","7","25","32"
"000057","2","1","3","4","7","3","4","3","0","2","6","23","29"
"000058","2","2","3","4","1","3","4","2","0","2","7","16","23"
"000059","2","2","3","4","7","3","4","3","2","2","7","25","32"
"000063","2","1","3","5","7","3","4","2","0","2","6","23","29"
"000064","2","2","3","4","7","3","4","3","2","2","7","25","32"
"000065","2","4","3","4","7","3","4","3","0","2","9","23","32"
"000066","2","1","3","4","7","3","4","3","2","2","6","25","31"
"000067","2","4","1","5","7","3","4","3","0","2","7","24","31"
"000068","2","4","3","4","7","3","4","2","0","2","9","22","31"
"000070","2","1","3","5","7","3","4","3","0","2","6","24","30"
"000071","2","2","3","4","7","3","4","3","0","2","7","23","30"
"000072","2","2","3","4","2","3","4","2","0","2","7","17","24"
"000073","2","4","3","4","7","3","4","3","2","2","9","25","34"
"000074","2","4","3","4","7","3","3","3","0","2","9","22","31"
"000075","2","1","3","4","7","3","4","3","2","2","6","25","31"
"000076","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000077","2","2","3","4","7","3","3","3","2","2","7","24","31"
"000078","2","4","3","4","7","3","4","3","0","2","9","23","32"
"000079","2","4","3","4","7","3","4","3","0","2","9","23","32"
"000080","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000082","2","2","3","4","7","3","3","2","0","2","7","21","28"
"000083","2","4","3","4","7","3","4","3","2","2","9","25","34"
"000084","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000085","2","4","3","1","1","3","4","2","0","2","9","13","22"
"000086","2","1","3","4","7","3","4","3","2","2","6","25","31"
"000087","2","2","3","1","0","3","3","2","0","2","7","11","18"
"000088","2","4","3","1","0","3","4","3","0","2","9","13","22"
"000089","2","4","3","5","7","3","4","3","2","2","9","26","35"
"000090","2","2","3","4","7","3","2","2","0","2","7","20","27"
"000091","2","4","3","4","7","3","3","3","0","2","9","22","31"
"000092","2","4","3","4","7","3","4","2","0","2","9","22","31"
"000093","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000094","2","1","3","5","7","3","4","3","0","2","6","24","30"
"000095","2","4","3","5","7","3","4","2","0","2","9","23","32"
"000096","2","1","3","4","7","3","4","2","0","2","6","22","28"
"000097","2","2","3","5","7","3","4","3","0","2","7","24","31"
"000098","2","4","3","4","7","3","4","3","2","2","9","25","34"
"000099","2","2","1","1","7","3","4","2","0","2","5","19","24"
"000100","2","2","3","4","2","3","4","2","0","2","7","17","24"
"000101","2","1","3","5","7","3","4","3","0","2","6","24","30"
"000103","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000104","2","1","3","4","5","3","4","3","0","2","6","21","27"
"000105","2","4","3","4","5","3","4","3","0","2","9","21","30"
"000106","2","4","3","1","0","3","3","2","0","2","9","11","20"
"000107","2","2","3","4","7","3","3","2","0","2","7","21","28"
"000108","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000109","2","4","3","4","5","3","4","3","0","2","9","21","30"
"000110","2","2","3","5","7","3","4","3","0","2","7","24","31"
"000111","2","1","3","5","7","4","4","3","2","2","6","27","33"
"000112","2","2","3","4","7","3","4","3","2","2","7","25","32"
"000113","2","2","3","4","7","3","4","3","0","2","7","23","30"
"000114","2","2","3","5","7","3","4","3","0","4","7","26","33"
"000115","2","2","3","4","7","3","4","3","2","2","7","25","32"
"000116","2","4","3","4","7","3","4","3","2","2","9","25","34"
"000117","2","2","3","4","7","3","4","3","2","2","7","25","32"
"000118","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000119","2","4","3","4","5","3","4","3","0","2","9","21","30"
"000120","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000122","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000123","2","4","3","4","7","3","4","3","2","2","9","25","34"
"000124","2","2","3","4","2","3","4","3","2","2","7","20","27"
"000125","2","2","3","1","0","3","3","2","0","2","7","12","19"
"000126","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000127","2","4","3","4","7","3","4","2","0","2","9","22","31"
"000128","2","1","3","5","7","4","4","3","2","2","6","27","33"
"000129","2","4","3","5","7","3","4","3","2","2","9","26","35"
"000130","2","2","3","4","7","3","3","2","0","2","7","21","28"
"000131","2","4","3","5","7","3","4","3","2","2","9","26","35"
"000132","2","1","3","5","7","3","4","3","0","2","6","24","30"
"000133","2","2","3","4","7","3","3","3","2","2","7","24","31"
"000134","2","1","3","5","7","3","4","3","0","2","6","24","30"
"000135","2","1","3","5","7","3","4","3","0","2","6","24","30"
"000136","2","4","3","5","7","3","3","3","2","2","9","25","34"
"000137","2","4","3","4","5","3","3","3","2","2","9","22","31"
"000138","2","2","3","5","7","3","3","3","2","2","7","25","32"
"000139","2","4","3","4","1","3","3","3","0","2","9","17","26"
"000140","2","1","3","4","7","3","4","2","0","2","6","22","28"
"000141","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000143","2","4","3","4","7","3","4","2","0","2","9","22","31"
"000144","4","4","3","5","7","3","4","2","0","2","11","23","34"
"000145","2","2","3","5","7","3","4","2","0","2","7","23","30"
"000146","2","4","3","5","7","3","4","2","0","2","9","23","32"
"000147","2","2","3","4","7","3","3","2","0","2","7","21","28"
"000148","2","2","3","5","7","3","3","3","2","2","7","25","32"
"000149","2","1","3","4","7","3","4","3","2","2","6","25","31"
"000150","2","4","3","5","7","3","3","3","0","2","9","23","32"
"000151","2","2","3","5","5","3","4","2","0","2","7","21","28"
"000152","2","1","3","4","7","3","4","2","0","2","6","22","28"
"000153","2","4","3","5","7","3","4","3","2","2","9","26","35"
"000154","4","2","3","5","7","4","4","3","2","2","9","27","36"
"000155","2","4","3","5","7","3","4","2","0","2","9","23","32"
"000156","2","2","3","5","7","3","4","2","0","2","7","23","30"
"000157","2","2","3","5","7","3","3","2","0","2","7","22","29"
"000158","2","4","3","4","7","4","4","2","0","2","9","23","32"
"000159","2","4","3","5","7","3","4","2","0","2","9","23","32"
"000160","2","4","3","4","7","3","4","2","0","2","9","22","31"
"000161","2","2","3","5","7","3","4","3","2","2","7","26","33"
"000162","2","1","3","4","7","3","3","2","0","2","6","21","27"
"000163","2","2","3","1","0","3","4","2","0","2","7","12","19"
"000164","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000165","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000166","2","2","3","5","5","3","4","3","2","2","7","24","31"
"000167","2","2","3","5","5","3","4","3","2","2","7","24","31"
"000168","2","2","3","5","7","3","4","2","0","2","7","23","30"
"000169","2","2","3","4","7","3","3","2","0","2","7","21","28"
"000170","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000171","2","2","3","4","7","3","4","2","0","2","7","22","29"
"000172","2","2","3","4","7","3","3","2","0","2","7","21","28"
"000173","2","2","3","4","7","3","4","2","0","4","7","24","31"
"000174","2","4","3","4","7","3","3","2","0","4","9","23","32"
