idsolicitud,total_activo,total_pasivo,patrimonio,fecha
"000000002","8350.00","0.00","8350.00","2018-01-27"
"000000004","99941.99","1974.00","9999.99","2018-01-29"
"000000005","1600.00","0.00","1600.00","2018-01-29"
"000000006","18300.00","0.00","18300.00","2018-01-29"
"000000009","3200.00","0.00","3200.00","2018-01-30"
"000000010","7900.00","0.00","7900.00","2018-01-30"
"000000011","6200.00","0.00","6200.00","2018-01-31"
"000000012","1630.00","0.00","1630.00","2018-01-31"
"000000013","34600.00","12528.00","22072.00","2018-02-01"
"000000015","5750.00","2608.00","3142.00","2018-01-24"
"000000016","11000.00","0.00","11000.00","2018-01-24"
"000000017","6690.00","0.00","6690.00","2018-01-23"
"000000018","4200.00","0.00","4200.00","2018-02-01"
"000000019","13500.00","5200.00","8300.00","2018-01-24"
"000000020","12100.00","0.00","12100.00","2018-01-25"
"000000021","1600.00","0.00","1600.00","2018-01-27"
"000000022","150.00","0.00","150.00","2018-01-26"
"000000023","3300.00","0.00","3300.00","2018-02-03"
"000000025","7500.00","0.00","7500.00","2018-02-03"
"000000028","12450.00","0.00","12450.00","2018-02-03"
"000000029","1310.00","0.00","1310.00","2018-01-26"
"000000030","7740.00","0.00","7740.00","2018-02-05"
"000000032","50500.00","0.00","50500.00","2018-02-05"
"000000033","2450.00","65.00","2385.00","2018-02-06"
"000000034","200.00","0.00","200.00","2018-02-06"
"000000035","7700.00","0.00","7700.00","2018-02-06"
"000000036","3200.00","0.00","3200.00","2018-02-06"
"000000037","4100.00","0.00","4100.00","2018-02-07"
"000000038","4250.00","600.00","3650.00","2018-02-07"
"000000040","24600.00","5000.00","19600.00","2018-02-07"
"000000042","180.00","0.00","180.00","2018-02-07"
"000000043","5770.00","0.00","5770.00","2018-02-07"
"000000044","20200.00","0.00","20200.00","2018-02-08"
"000000045","12500.00","0.00","12500.00","2018-02-03"
"000000046","27300.00","23805.00","3495.00","2018-02-08"
"000000047","1950.00","1008.00","942.00","2018-02-08"
"000000048","200.00","0.00","200.00","2018-02-10"
"000000049","21910.00","0.00","21910.00","2018-02-09"
"000000053","550.00","0.00","550.00","2018-02-09"
"000000054","22250.00","0.00","22250.00","2018-02-10"
"000000055","11030.00","0.00","11030.00","2018-02-10"
"000000056","18150.00","0.00","18150.00","2018-02-19"
"000000057","3200.00","0.00","3200.00","2018-02-12"
"000000058","3470.00","200.00","3270.00","2018-02-12"
"000000059","7850.00","0.00","7850.00","2018-02-13"
"000000063","13500.00","0.00","13500.00","2018-02-13"
"000000064","99999.99","26745.00","81955.00","2018-02-13"
"000000065","5035.00","0.00","5035.00","2018-02-13"
"000000066","41000.00","13362.00","27638.00","2018-02-14"
"000000067","1600.00","0.00","1600.00","2018-02-14"
"000000068","7560.00","0.00","7560.00","2018-02-14"
"000000070","24150.00","900.00","23250.00","2018-02-14"
"000000071","10900.00","0.00","10900.00","2018-02-15"
"000000072","280.00","0.00","280.00","2018-02-15"
"000000073","28950.00","9152.00","19798.00","2018-02-15"
"000000074","6060.00","0.00","6060.00","2018-02-16"
"000000075","18850.00","0.00","18850.00","2018-02-16"
"000000076","7340.00","0.00","7340.00","2018-02-16"
"000000077","25200.00","3892.00","21308.00","2018-02-16"
"000000078","17300.00","0.00","17300.00","2018-02-17"
"000000079","5100.00","0.00","5100.00","2018-02-17"
"000000080","5300.00","0.00","5300.00","2018-02-19"
"000000082","6700.00","2813.00","3887.00","2018-02-19"
"000000083","15800.00","1500.00","14300.00","2018-02-19"
"000000084","7990.00","0.00","7990.00","2018-02-19"
"000000085","7550.00","0.00","7550.00","2018-02-19"
"000000086","36000.00","27000.00","9000.00","2018-02-19"
"000000087","3500.00","0.00","3500.00","2018-02-19"
"000000088","7060.00","0.00","7060.00","2018-02-20"
"000000089","15600.00","1800.00","13800.00","2018-02-21"
"000000090","200.00","0.00","200.00","2018-02-21"
"000000091","4720.00","0.00","4720.00","2018-02-21"
"000000092","32300.00","0.00","32300.00","2018-02-22"
"000000093","1460.00","0.00","1460.00","2018-02-22"
"000000094","3200.00","0.00","3200.00","2018-02-22"
"000000095","600.00","26.00","574.00","2018-02-22"
"000000096","34200.00","17407.00","16793.00","2018-02-22"
"000000097","4100.00","0.00","4100.00","2018-02-23"
"000000098","16900.00","9324.00","7576.00","2018-02-23"
"000000099","3300.00","0.00","3300.00","2018-02-23"
"000000100","2500.00","0.00","2500.00","2018-02-23"
"000000101","4200.00","0.00","4200.00","2018-02-23"
"000000103","1850.00","225.00","1625.00","2018-02-23"
"000000104","20200.00","0.00","20200.00","2018-02-23"
"000000105","15150.00","0.00","15150.00","2018-02-24"
"000000106","8200.00","0.00","8200.00","2018-02-24"
"000000107","6780.00","0.00","6780.00","2018-02-26"
"000000108","16500.00","5073.00","11427.00","2018-02-26"
"000000109","6150.00","0.00","6150.00","2018-02-26"
"000000110","7560.00","0.00","7560.00","2018-02-26"
"000000111","24150.00","1600.00","22550.00","2018-02-27"
