idsolicitud,idsolicitud_acancelar,estado,saldocuota,saldomora,totaldeuda
"000017398","000016863","PAGO","272.50","1.20","273.70"
"000017477","000016871","PAGO","545.00","0.00","545.00"
"000017498","000016837","PAGO","508.00","0.00","508.00"
"000017510","000016759","PAGO","54.50","0.00","54.50"
"000017517","000017050","PAGO","272.50","0.00","272.50"
"000017521","000017096","DEBE","218.00","0.30","218.30"
"000017522","000016708","PAGO","272.50","2.40","274.90"
"000017523","000016893","DEBE","545.00","7.20","552.20"
"000017525","000017060","PAGO","362.00","0.40","362.40"
"000017526","000016725","DEBE","11.00","3.60","14.60"
"000017527","000016729","PAGO","135.00","0.00","135.00"
"000017538","000016725","PAGO","11.00","3.60","14.60"
"000017539","000016898","PAGO","53.00","1.20","54.20"
"000017540","000016467","PAGO","51.50","4.00","55.50"
"000017546","000017063","PAGO","815.00","5.00","820.00"
"000017547","000016878","PAGO","1090.00","0.00","1090.00"
"000017552","000017053","PAGO","1594.80","14.00","1608.80"
"000017554","000016859","PAGO","289.20","0.00","289.20"
"000017560","000016733","PAGO","70.80","0.80","71.60"
"000017563","000016630","PAGO","43.20","2.40","45.60"
"000017566","000017071","PAGO","212.00","1.60","213.60"
"000017571","000016958","PAGO","359.70","0.80","360.50"
"000017573","000016877","PAGO","15.00","0.60","15.60"
"000017574","000016891","PAGO","405.00","0.00","405.00"
"000017576","000016842","PAGO","248.90","0.80","249.70"
"000017577","000016791","PAGO","76.00","0.30","76.30"
"000017586","000017105","PAGO","0.00","1.60","1.60"
"000017592","000016772","PAGO","54.50","5.60","60.10"
"000017594","000016744","PAGO","216.00","0.00","216.00"
"000017597","000016737","PAGO","160.00","1.00","161.00"
"000017598","000016220","PAGO","0.00","0.80","0.80"
"000017599","000016753","PAGO","108.20","1.80","110.00"
"000017607","000016581","PAGO","0.00","8.00","8.00"
"000017612","000016404","PAGO","0.00","7.00","7.00"
"000017615","000016728","PAGO","109.00","8.00","117.00"
"000017619","000016908","PAGO","110.00","0.60","110.60"
"000017620","000016906","PAGO","756.00","0.00","756.00"
"000017622","000017130","PAGO","26.60","0.60","27.20"
"000017629","000017070","PAGO","681.10","6.00","687.10"
"000017637","000016868","PAGO","151.00","4.00","155.00"
"000017642","000016920","PAGO","871.40","4.00","875.40"
"000017644","000017036","PAGO","109.00","0.00","109.00"
"000017645","000017113","PAGO","525.00","0.80","525.80"
"000017650","000017373","PAGO","695.00","1.00","696.00"
"000017651","000017076","PAGO","21.20","2.40","23.60"
