idsolicitud,fechahora,idusuario,descontado,totalentregado
"000000002","2018-01-26 06:10:08","KESPIRITU","0.00","500.00"
"000000004","2018-01-29 11:40:40","KESPIRITU","0.00","500.00"
"000000005","2018-01-29 10:30:45","KESPIRITU","0.00","300.00"
"000000006","2018-01-29 11:36:20","KESPIRITU","0.00","200.00"
"000000009","2018-01-30 05:42:27","KESPIRITU","0.00","500.00"
"000000010","2018-01-30 05:46:23","KESPIRITU","0.00","500.00"
"000000011","2018-01-31 09:41:11","KESPIRITU","0.00","500.00"
"000000012","2018-01-31 09:44:02","KESPIRITU","0.00","700.00"
"000000013","2018-02-02 04:41:18","KESPIRITU","0.00","1000.00"
"000000015","2018-01-24 09:38:42","KESPIRITU","0.00","1000.00"
"000000016","2018-01-25 09:54:28","KESPIRITU","0.00","2000.00"
"000000017","2018-01-24 09:55:46","KESPIRITU","0.00","1500.00"
"000000018","2018-01-27 09:51:14","KESPIRITU","0.00","600.00"
"000000019","2018-01-23 09:35:27","KESPIRITU","0.00","1500.00"
"000000020","2018-01-26 09:53:09","KESPIRITU","0.00","500.00"
"000000021","2018-01-27 09:43:26","KESPIRITU","0.00","300.00"
"000000022","2018-01-26 09:51:14","KESPIRITU","0.00","100.00"
"000000023","2018-01-27 09:44:29","KESPIRITU","0.00","200.00"
"000000025","2018-01-26 09:42:11","KESPIRITU","0.00","300.00"
"000000028","2018-01-27 11:26:10","KESPIRITU","0.00","2000.00"
"000000029","2018-01-26 06:20:03","KESPIRITU","0.00","1000.00"
"000000030","2018-01-26 09:41:01","KESPIRITU","0.00","800.00"
"000000032","2018-02-05 05:49:02","KESPIRITU","0.00","3000.00"
"000000033","2018-02-06 10:54:32","KESPIRITU","0.00","1000.00"
"000000034","2018-06-01 18:50:28","KESPIRITU","0.00","600.00"
"000000035","2018-02-06 05:13:13","KESPIRITU","0.00","1000.00"
"000000036","2018-01-24 09:42:40","KESPIRITU","0.00","1000.00"
"000000037","2018-02-07 08:49:28","KESPIRITU","0.00","1000.00"
"000000038","2018-02-07 08:48:23","KESPIRITU","0.00","400.00"
"000000040","2018-02-08 09:41:11","KESPIRITU","0.00","2000.00"
"000000042","2018-02-08 10:05:12","KESPIRITU","0.00","300.00"
"000000043","2018-02-08 10:06:16","KESPIRITU","0.00","1000.00"
"000000044","2018-02-08 05:22:25","KESPIRITU","0.00","500.00"
