M154;(OSTEO)ARTROSIS EROSIVA|
M150;(OSTEO)ARTROSIS PRIMARIA GENERALIZADA|
L020;02.0 ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE LA CARA|
E661;0BESIDAD INDUCIDA POR DROGAS|
K315;0BSTRUCCION DEL DUODENO|
R413;0TRA AMNESIA|
R068;0TRAS ANORMALIDADES DE LA RESPIRACION Y LAS NO ESPECIFICADAS|
R195;0TRAS ANORMALIDADES FECALES|
P284;0TRAS APNEAS DEL RECIEN NACIDO|
M028;0TRAS ARTROPATIAS REACTIVAS|
P281;0TRAS ATELECTASIAS DEL RECIEN NACIDO Y LAS NO ESPECIFICADAS|
E638;0TRAS DEFICIENCIAS NUTRICIONALES ESPECIFICADAS|
N808;0TRAS ENDOMETRIOSIS|
K318;0TRAS ENFERMEDADES ESPECIFICADAS DEL ESTOMAGO Y DEL DUODENO|
K758;0TRAS ENFERMEDADES INFLAMATORIAS DEL HIGADO, ESPECIFICADAS|
N158;0TRAS ENFERMEDADES RENALES TUBULOINTERSTICIALES ESPECIFICADAS|
E701;0TRAS HIPERFENILALANINEMIAS|
J068;0TRAS INFECCIONES AGUDAS DE SITIOS MULTIPLES DE LAS VIAS RESPIRATORIAS SUPERIORES|
Q272;0TRAS MALFORMACIONES CONGENITAS DE LA ARTERIA RENAL|
G008;0TRAS MENINGITIS BACTERIANAS|
L958;0TRAS VASCULITIS LIMITADAS A LA PIEL|
T368;0TROS ANTIBIOTICOS SISTEMICOS|
N218;0TROS CALCULOS DE LAS VIAS URINARIAS INFERIORES|
F058;0TROS DELIRIOS|
B957;0TROS ESTAFILOCOCOS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS|
Z008;0TROS EXAMENES GENERALES|
P288;0TROS PROBLEMAS RESPIRATORIOS ESPECIFICADOS DEL RECIEN NACIDO|
R398;0TROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO Y LOS NO ESPECIFICADOS|
E212;0TROS TIPOS DE HIPERPARATIROIDISMO|
E208;0TROS TIPOS DE HIPOPARATIROIDISMO|
J931;0TROS TIPOS DE NEUMOTORAX ESPONTANEO|
P298;0TROS TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL|
H328;0TROS TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE|
L878;0TROS TRASTORNOS DE LA ELIMINACION TRANSEPIDERMICA|
H818;0TROS TRASTORNOS DE LA FUNCION VESTIBULAR|
H438;0TROS TRASTORNOS DEL CUERPO VITREO|
E708;0TROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS|
E214;0TROS TRASTORNOS ESPECIFICADOS DE LA GLANDULA PARATIROIDES|
H588;0TROS TRASTORNOS ESPECIFICADOS DEL OJO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE|
H578;0TROS TRASTORNOS ESPECIFICADOS DEL OJO Y SUS ANEXOS|
N488;0TROS TRASTORNOS ESPECIFICADOS DEL PENE|
N288;0TROS TRASTORNOS ESPECIFICADOS DEL RIÑON Y DEL URETER|
D898;0TROS TRASTORNOS ESPECIFICADOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD, NO CLASIFICADOS EN OTRA PAR|
N482;0TROS TRASTORNOS INFLAMATORIOS DEL PENE|
P788;0TROS TRASTORNOS PERINATALES ESPECIFICOS DEL SISTEMA DIGESTIVO|
K558;0TROS TRASTORNOS VASCULARES DEL INTESTINO|
S098;0TROS TRAUMATISMOS DE LA CABEZA, ESPECIFICADOS|
T138;0TROS TRAUMATISMOS ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO|
T098;0TROS TRAUMATISMOS ESPECIFICADOS DEL TRONCO, NIVEL NO ESPECIFICADO|
S608;0TROS TRAUMATISMOS SUPERFICIALES DE LA MUÑECA Y DE LA MANO|
S408;0TROS TRAUMATISMOS SUPERFICIALES DEL HOMBRO Y DEL BRAZO|
S908;0TROS TRAUMATISMOS SUPERFICIALES DEL PIE Y DEL TOBILLO|
Q505;0UISTE EMBRIONARIO DEL LIGAMENTO ANCHO|
O911;ABCESO DE LA MAMA ASOCIADA CON EL PARTO|
R100;ABDOMEN AGUDO|
Z939;ABERTURA ARTIFICIAL, NO ESPECIFICADA|
N96X;ABORTADORA HABITUAL|
O03X;ABORTO ESPONTANEO|
O030;ABORTO ESPONTANEO INCOMPLETO, COMPLICADO CON INFECCION GENITAL Y PELVIANA|
O031;ABORTO ESPONTANEO INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA.|
O034;ABORTO ESPONTANEO INCOMPLETO, SIN COMPLICACION|
O035;ABORTO ESPONTANEO, COMPLETO O NO ESPECIFICADO, COMPLICADO CON INFECCION GENITAL Y PELVIANA|
O037;ABORTO ESPONTANEO, COMPLETO O NO ESPECIFICADO, COMPLICADO POR EMBOLIA|
O036;ABORTO ESPONTANEO, COMPLETO O NO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA|
O038;ABORTO ESPONTANEO, COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPEC|
O039;ABORTO ESPONTANEO, COMPLETO O NO ESPECIFICADO, SIN COMPLICACION|
O032;ABORTO ESPONTANEO, INCOMPLETO, COMPLICADO POR EMBOLIA|
O033;ABORTO ESPONTANEO, INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS|
O04X;ABORTO MEDICO|
O049;ABORTO MEDICO (TERAPEUTICO) COMPLETO O NO ESPECIFICADO |
O045;ABORTO MEDICO, COMPLETO O NO ESPECIFICADO, COMPLICADO CON INFECCION GENITAL Y PELVIANA|
O047;ABORTO MEDICO, COMPLETO O NO ESPECIFICADO, COMPLICADO POR EMBOLIA|
O046;ABORTO MEDICO, COMPLETO O NO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA|
O048;ABORTO MEDICO, COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFIC|
O040;ABORTO MEDICO, INCOMPLETO, COMPLICADO CON INFECCION GENITAL Y PELVIANA|
O042;ABORTO MEDICO, INCOMPLETO, COMPLICADO POR EMBOLIA|
O041;ABORTO MEDICO, INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA|
O043;ABORTO MEDICO, INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS|
O044;ABORTO MEDICO, INCOMPLETO, SIN COMPLICACION|
O06X;ABORTO NO ESPECIFICADO|
