id,fecha,descripcion
"13","2018-01-01","Año Nuevo"
"14","2018-03-29","Jueves Santo"
"15","2018-03-30","Viernes Santo"
"16","2018-05-01","Día del Trabajo"
"17","2018-06-29","San Pedro y San Pablo"
"18","2018-07-28","Día de la Independencia"
"20","2018-08-30","Santa Rosa de Lima"
"21","2018-10-08","Combate de Angamos"
"22","2018-11-01","Día de Todos los Santos"
"23","2018-12-08","Inmaculada Concepción"
"24","2018-12-25","Navidad"
"25","2018-04-01","DOMINGO"
"26","2018-07-01","DOMINGO"
"27","2018-06-10","DOMINGO"
"28","2018-02-11","DOMINGO"
"29","2018-03-11","DOMINGO"
"30","2018-11-11","DOMINGO"
"31","2018-08-12","DOMINGO"
"32","2018-05-13","DOMINGO"
"33","2018-01-14","DOMINGO"
"34","2018-10-14","DOMINGO"
"35","2018-04-15","DOMINGO"
"36","2018-07-15","DOMINGO"
"37","2018-12-16","DOMINGO"
"38","2018-09-16","DOMINGO"
"39","2018-06-17","DOMINGO"
"40","2018-02-18","DOMINGO"
"41","2018-03-18","DOMINGO"
"42","2018-11-18","DOMINGO"
"43","2018-08-19","DOMINGO"
"44","2018-12-02","DOMINGO"
"45","2018-09-02","DOMINGO"
"46","2018-05-20","DOMINGO"
"47","2018-01-21","DOMINGO"
"48","2018-10-21","DOMINGO"
"49","2018-04-22","DOMINGO"
"50","2018-07-22","DOMINGO"
"51","2018-12-23","DOMINGO"
"52","2018-09-23","DOMINGO"
"53","2018-06-24","DOMINGO"
"54","2018-02-25","DOMINGO"
"55","2018-03-25","DOMINGO"
"56","2018-11-25","DOMINGO"
"57","2018-08-26","DOMINGO"
"58","2018-05-27","DOMINGO"
"59","2018-01-28","DOMINGO"
"60","2018-10-28","DOMINGO"
"61","2018-04-29","DOMINGO"
"62","2018-07-29","DOMINGO"
"63","2018-06-03","DOMINGO"
"64","2018-12-30","DOMINGO"
"65","2018-09-30","DOMINGO"
"66","2018-02-04","DOMINGO"
"67","2018-03-04","DOMINGO"
"68","2018-11-04","DOMINGO"
"69","2018-08-05","DOMINGO"
"70","2018-05-06","DOMINGO"
"71","2018-10-07","DOMINGO"
"72","2018-04-08","DOMINGO"
"73","2018-07-08","DOMINGO"
"74","2018-12-09","DOMINGO"
"75","2018-09-09","DOMINGO"
"76","2019-01-01","Año Nuevo"
"77","2019-04-18","Jueves Santo"
"78","2019-04-19","Viernes Santo"
"79","2019-05-01","Dia del Trabajo"
"81","2019-06-29","San Pedro y San Pablo"
"82","2019-07-29","dia de la independencia"
"83","2019-08-30","Santa Rosa de Lima"
"84","2019-10-08","Combate de Angamos"
"85","2019-11-01","Dia de Todos los Santos"
"86","2019-12-25","Navidad"
"87","2019-01-06","DOMINGO"
"88","2019-01-13","DOMINGO"
"89","2019-01-20","DOMINGO"
"90","2019-01-27","DOMINGO"
"91","2019-02-03","DOMINGO"
"92","2019-02-10","DOMINGO"
"93","2019-02-17","DOMINGO"
"94","2019-02-24","DOMINGO"
"95","2019-03-03","DOMINGO"
"96","2019-03-10","DOMINGO"
"97","2019-03-17","DOMINGO"
"98","2019-03-24","DOMINGO"
"99","2019-03-31","DOMINGO"
"100","2019-04-07","DOMINGO"
"101","2019-04-14","DOMINGO"
"102","2019-04-21","DOMINGO"
"103","2019-04-28","DOMINGO"
"104","2019-05-05","DOMINGO"
"105","2019-05-12","DOMINGO"
"106","2019-05-19","DOMINGO"
"107","2019-05-26","DOMINGO"
"108","2019-06-02","DOMINGO"
"109","2019-06-09","DOMINGO"
"110","2019-06-16","DOMINGO"
"111","2019-06-23","DOMINGO"
"112","2019-06-30","DOMINGO"
"113","2019-07-07","DOMINGO"
"114","2019-07-14","DOMINGO"
"115","2019-07-21","DOMINGO"
"116","2019-07-28","dia de la independencia"
"117","2019-08-04","DOMINGO"
"118","2019-08-11","DOMINGO"
"119","2019-08-18","DOMINGO"
"120","2019-08-25","DOMINGO"
