"med_CodMed";"med_Nombre";"med_FormaFarmaceutica";"med_Presen";"med_Concen";"med_Costo";"med_Petitorio";"med_Petitorio2005";"med_Petitorio2010";"med_FecBaja";"med_FFDigemid";"med_IdEstado";"MED_V_NOMBRE_SIS";"MED_V_PRESENT_SIS";"MED_V_FORMAFARM_SIS";"MED_V_UNIDAD_CONSUMO";"MED_N_FACTOR_CONSUMO"
"00001";"2H-1-BENZOPIRAN-2-ONA";"TAB";"";"15 mg";0.0;"N";"N";"N";"2015-03-03";"TAB";"1";"2H-1-BENZOPIRAN-2-ONA";"";"";"";0.0
"00002";"ABACAVIR (COMO SULFATO) + LAMIVUDINA + ZIDOVUDINA";"TAB";"";"300 mg + 150 mg + 300 mg";0.0;"N";"N";"N";"";"TAB";"0";"ABACAVIR (COMO SULFATO) + LAMIVUDINA + ZIDOVUDINA";"";"TAB";"UNIDAD";1.0
"00003";"ABACAVIR (COMO SULFATO)";"SOL";"240 mL";"100 mg/5 mL";0.0;"N";"N";"N";"";"SOL";"0";"ABACAVIR (COMO SULFATO)";"240 mL";"SOL";"";0.0
"00004";"ABACAVIR (COMO SULFATO)";"TAB";"";"300 mg";0.0;"S";"N";"S";"";"TAB";"0";"ABACAVIR (COMO SULFATO)";"";"TAB";"";0.0
"00005";"ABCIXIMAB";"INY";"5 mL";"2 mg/mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ABCIXIMAB";"5 mL";"INY";"5 mL";1.0
"00006";"ACAMPROSATO";"TAB";"";"333 mg";0.0;"N";"N";"N";"2022-05-10";"TAB";"1";"ACAMPROSATO";"";"TAB";"UNIDAD";1.0
"00007";"ACARBOSA";"TAB";"";"100 mg";0.0;"N";"N";"N";"2022-05-10";"TAB";"1";"ACARBOSA";"";"TAB";"UNIDAD";1.0
"00008";"ACARBOSA";"TAB";"";"50 mg";0.0;"N";"N";"N";"2022-05-10";"TAB";"1";"ACARBOSA";"";"TAB";"UNIDAD";1.0
"00009";"ACECLOFENACO";"INY";"";"150 mg";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACECLOFENACO";"";"INY";"UNIDAD";1.0
"00010";"ACECLOFENACO";"TAB";"";"100 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACECLOFENACO";"";"TAB";"UNIDAD";1.0
"00011";"ACEITE DE ALMENDRA + CERA DE ABEJAS + SALICILICO ACIDO";"BARRA";"2.5 g";"525 ug + 1.92 mg + 50 ug/100 g";0.0;"N";"N";"N";"";"BARRA";"0";"ACEITE DE ALMENDRA + CERA DE ABEJAS + SALICILICO ACIDO";"2.5 g";"BARRA";"UNIDAD";1.0
"00012";"ACEITE DE CARTAMO + ACEITE DE SOYA + LECITINA";"INY";"100 mL";"10 g + 10 g + 1 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE CARTAMO + ACEITE DE SOYA + LECITINA";"100 mL";"INY";"100 mL";1.0
"00013";"ACEITE DE CARTAMO + ACEITE DE SOYA + LECITINA";"INY";"200 mL";"10 g + 10 g + 1 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE CARTAMO + ACEITE DE SOYA + LECITINA";"200 mL";"INY";"200 mL";1.0
"00014";"ACEITE DE CARTAMO + ACEITE DE SOYA + LECITINA";"INY";"500 mL";"10 g + 10 g + 1 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE CARTAMO + ACEITE DE SOYA + LECITINA";"500 mL";"INY";"500 mL";1.0
"00015";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"10 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"10 g";"UNG";"10 g";1.0
"00016";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"100 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"100 g";"UNG";"100 g";1.0
"00017";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"20 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"20 g";"UNG";"20 g";1.0
"00018";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"25 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"25 g";"UNG";"25 g";1.0
"00019";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"30 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"30 g";"UNG";"30 g";1.0
"00020";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"36 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"36 g";"UNG";"36 g";1.0
"00021";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"40 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"40 g";"UNG";"40 g";1.0
"00022";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"5 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"5 g";"UNG";"5 g";1.0
"00023";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"50 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"50 g";"UNG";"50 g";1.0
"00024";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"60 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"60 g";"UNG";"60 g";1.0
"00025";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"70 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"70 g";"UNG";"70 g";1.0
"00026";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"80 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"80 g";"UNG";"80 g";1.0
"00027";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"UNG";"90 g";"334 mg + 9 g + 1.35 g/100 g";0.0;"N";"N";"N";"2022-05-10";"UNG";"1";"ACEITE DE GAULTHERIA + ALCANFOR + MENTOL";"90 g";"UNG";"90 g";1.0
"00028";"ACEITE DE HIGADO DE HALIBUT + NISTATINA";"CRM";"15 g";"10 g + 10000000 UI/100 g";0.0;"N";"N";"N";"2022-05-10";"CRM";"1";"ACEITE DE HIGADO DE HALIBUT + NISTATINA";"15 g";"CRM";"15 g";1.0
"00029";"ACEITE DE HIGADO DE HALIBUT + NISTATINA";"CRM";"30 g";"10 g + 10000000 UI/100 g";0.0;"N";"N";"N";"2022-05-10";"CRM";"1";"ACEITE DE HIGADO DE HALIBUT + NISTATINA";"30 g";"CRM";"30 g";1.0
"00030";"ACEITE DE HIGADO DE HALIBUT + NISTATINA";"CRM";"60 g";"10 g + 10000000 UI/100 g";0.0;"N";"N";"N";"2022-05-10";"CRM";"1";"ACEITE DE HIGADO DE HALIBUT + NISTATINA";"60 g";"CRM";"60 g";1.0
"00031";"ACEITE DE HIGADO DE HALIBUT";"CRM";"10 g";"10 g/100 g";0.0;"N";"N";"N";"2022-05-10";"CRM";"1";"ACEITE DE HIGADO DE HALIBUT";"10 g";"CRM";"10 g";1.0
"00032";"ACEITE DE HIGADO DE HALIBUT";"CRM";"100 g";"10 g/100 g";0.0;"N";"N";"N";"2022-05-10";"CRM";"1";"ACEITE DE HIGADO DE HALIBUT";"100 g";"CRM";"100 g";1.0
"00033";"ACEITE DE HIGADO DE HALIBUT";"CRM";"35 g";"10 g/100 g";0.0;"N";"N";"N";"2022-05-10";"CRM";"1";"ACEITE DE HIGADO DE HALIBUT";"35 g";"CRM";"35 g";1.0
"00034";"ACEITE DE HIGADO DE HALIBUT";"CRM";"60 g";"10 g/100 g";0.0;"N";"N";"N";"2022-05-10";"CRM";"1";"ACEITE DE HIGADO DE HALIBUT";"60 g";"CRM";"60 g";1.0
"00035";"ACEITE DE RICINO";"TAB";"";"500 mg";0.0;"N";"N";"N";"2022-05-10";"TAB";"1";"ACEITE DE RICINO";"";"TAB";"UNIDAD";1.0
"00036";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"INY";"500 mL";"5 g + 10 g + 1.2 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"500 mL";"INY";"500 mL";1.0
"00037";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"INY";"100 mL";"20 g + 20 g + 1.2 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"100 mL";"INY";"100 mL";1.0
