"PRCD_ID_PROCEDIMIENTO";"PRCD_V_CODPRO_MINSA";"PRCD_V_CODPROCEDIMIENTO";"PRCD_V_DESPROCEDIMIENTO";"PRCD_I_ESTADO";"PRCD_D_FECBAJA";"PRCD_V_CODSEG";"PRCD_V_CODGRU";"PRCD_V_CODSUB";"PRCD_V_DOCUMENTO";"PRCD_I_IDUSUARIOCREA";"PRCD_D_FECCREA";"PRCD_V_DOCUMENTOCREA";"PRCD_I_IDUSUARIOACT";"PRCD_D_FECACT";"PRCD_V_DOCUMENTOACT";"PRCD_B_FLAGREGISTROELIMINADO";"PRCD_C_CONDICION";"PRCD_V_TIPORESULTADO";"PRCD_V_CODPROCEDIMEQUIVALEN"
1;"D3230";"D3230";"Pulpectomía anterior diente deciduo";"0";"";"";"00";"00";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
2;"76498";"76093";"(Imágenes de) Resonancia magnética de mama";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
3;"70540";"70540";"(Imágenes por) Resonancia magnética cabeza y/o cuello";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
4;"74181";"74181";"(Imágenes por) Resonancia magnética de abdomen";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
5;"72141";"72141";"(Imágenes por) Resonancia magnética de canal espinal y su contenido";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
6;"73720";"73720";"(Imágenes por) Resonancia magnética de extremidad inferior";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
7;"73220";"73220";"(Imágenes por) Resonancia magnética de extremidad superior";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
8;"72196";"72196";"(Imágenes por) Resonancia magnética de pelvis";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
9;"71550";"71550";"(Imágenes por) Resonancia magnética tórax";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
10;"83491";"83491";"17 Hidroxicorticoides";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
11;"83498";"83498";"17 Hidroxiprogesterona";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
12;"83586";"83586";"17 ketoesteroides";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
13;"83497";"83497";"5´ Hidroxindolacetico (5´- HIAA)";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
14;"";".07.02.01.01.02";"A. C.B.E. (10-14 años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
