idsolicitud,monto,fechareg
"000007141","1.00","2020-06-05"
"000007143","3.00","2020-06-06"
"000007144","2.00","2020-06-06"
"000007145","1.00","2020-06-09"
"000007146","1.00","2020-06-06"
"000007147","1.00","2020-06-08"
"000007148","3.00","2020-06-08"
"000007149","2.00","2020-06-08"
"000007150","1.00","2020-06-08"
"000007151","1.00","2020-06-09"
"000007152","1.00","2020-06-09"
"000007153","1.00","2020-06-09"
"000007154","1.00","2020-06-09"
"000007155","1.00","2020-06-09"
"000007156","2.00","2020-06-10"
"000007157","2.00","2020-06-10"
"000007158","8.00","2020-06-10"
"000007159","1.00","2020-06-10"
"000007160","1.00","2020-06-10"
"000007161","1.00","2020-06-11"
"000007162","1.00","2020-06-11"
"000007163","1.00","2020-06-11"
"000007164","1.00","2020-06-11"
"000007165","1.00","2020-06-11"
"000007166","1.00","2020-06-11"
"000007167","1.00","2020-06-12"
"000007168","1.00","2020-06-12"
"000007169","2.00","2020-06-12"
"000007170","1.00","2020-06-13"
"000007171","1.00","2020-06-13"
"000007172","1.00","2020-06-13"
"000007173","2.00","2020-06-12"
"000007174","1.00","2020-06-13"
"000007175","1.00","2020-06-13"
"000007176","1.00","2020-06-18"
"000007177","1.00","2020-06-13"
"000007178","1.00","2020-06-13"
"000007179","1.00","2020-06-13"
"000007180","8.00","2020-06-15"
"000007181","3.00","2020-06-15"
"000007182","1.00","2020-06-15"
"000007183","1.00","2020-06-15"
"000007184","1.00","2020-06-16"
"000007185","2.00","2020-06-16"
"000007186","2.00","2020-06-16"
"000007187","2.00","2020-06-16"
"000007188","8.00","2020-06-20"
"000007189","1.00","2020-06-16"
"000007190","1.00","2020-06-17"
"000007192","1.00","2020-06-17"
"000007193","2.00","2020-06-17"
"000007194","1.00","2020-06-17"
"000007195","1.00","2020-06-17"
"000007196","1.00","2020-06-18"
"000007197","1.00","2020-06-18"
"000007198","1.00","2020-06-18"
"000007199","2.00","2020-06-18"
"000007200","1.00","2020-06-20"
"000007201","1.00","2020-06-19"
"000007202","1.00","2020-06-19"
"000007204","2.00","2020-06-19"
"000007205","1.00","2020-06-19"
"000007206","1.00","2020-06-20"
"000007207","3.00","2020-06-20"
"000007208","1.00","2020-06-20"
"000007209","1.00","2020-06-19"
"000007210","1.00","2020-06-20"
"000007211","1.00","2020-06-20"
"000007212","2.00","2020-06-20"
"000007213","1.00","2020-06-22"
"000007214","1.00","2020-06-22"
"000007215","1.00","2020-06-23"
"000007216","1.00","2020-06-22"
"000007217","1.00","2020-06-22"
"000007218","1.00","2020-06-23"
"000007219","1.00","2020-06-23"
"000007220","1.00","2020-06-23"
"000007222","1.00","2020-06-23"
"000007223","1.00","2020-06-23"
"000007224","1.00","2020-06-23"
"000007225","1.00","2020-06-23"
"000007226","1.00","2020-06-23"
"000007227","1.00","2020-06-24"
"000007228","1.00","2020-06-24"
"000007229","1.00","2020-06-24"
"000007231","1.00","2020-06-25"
"000007232","1.00","2020-06-25"
"000007233","1.00","2020-06-26"
"000007234","1.00","2020-06-27"
"000007235","1.00","2020-06-27"
"000007236","1.00","2020-06-27"
"000007237","8.00","2020-06-26"
"000007238","3.00","2020-06-27"
"000007239","1.00","2020-06-27"
"000007240","2.00","2020-06-27"
"000007241","1.00","2020-06-27"
"000007242","3.00","2020-06-27"
"000007243","2.00","2020-06-30"
"000007244","1.00","2020-06-27"
"000007245","4.00","2020-06-27"
"000007246","1.00","2020-06-30"
"000007247","1.00","2020-06-30"
"000007248","1.00","2020-06-30"
"000007249","2.00","2020-06-30"
"000007250","1.00","2020-06-30"
"000007251","1.00","2020-06-30"
"000007252","1.00","2020-06-30"
"000007253","1.00","2020-06-30"
"000007254","2.00","2020-06-30"
"000007255","1.00","2020-06-30"
"000007256","1.00","2020-06-30"
"000007257","1.00","2020-06-30"
"000007258","1.00","2020-06-30"
"000007259","2.00","2020-06-30"
"000007261","1.00","2020-06-30"
"000007262","1.00","2020-06-30"
"000007263","2.00","2020-06-30"
"000007264","1.00","2020-06-30"
"000007266","1.00","2020-06-30"
"000007267","1.00","2020-06-30"
"000007268","1.00","2020-06-30"
"000007269","1.00","2020-06-30"
"000007270","2.00","2020-06-30"
"000007271","1.00","2020-07-01"
"000007272","1.00","2020-07-03"
"000007273","1.00","2020-07-01"
"000007274","1.00","2020-07-01"
"000007275","1.00","2020-07-01"
"000007276","2.00","2020-07-02"
"000007277","2.00","2020-07-02"
"000007278","1.00","2020-07-02"
"000007279","1.00","2020-07-02"
"000007280","2.00","2020-07-02"
"000007281","1.00","2020-07-02"
"000007282","1.00","2020-07-02"
"000007283","1.00","2020-07-02"
"000007284","1.00","2020-07-02"
"000007285","1.00","2020-07-02"
"000007286","1.00","2020-07-02"
"000007288","1.00","2020-07-03"
"000007289","3.00","2020-07-03"
"000007290","1.00","2020-07-03"
"000007291","1.00","2020-07-03"
"000007292","3.00","2020-07-03"
"000007293","1.00","2020-07-03"
"000007294","1.00","2020-07-03"
"000007295","1.00","2020-07-04"
"000007296","2.00","2020-07-03"
"000007297","1.00","2020-07-04"
"000007298","2.00","2020-07-06"
"000007299","1.00","2020-07-04"
"000007300","1.00","2020-07-04"
"000007301","1.00","2020-07-04"
"000007302","1.00","2020-07-04"
"000007303","1.00","2020-07-06"
"000007304","3.00","2020-07-06"
"000007305","1.00","2020-07-06"
"000007306","1.00","2020-07-07"
"000007307","1.00","2020-07-06"
"000007308","1.00","2020-07-07"
"000007309","1.00","2020-07-06"
"000007310","1.00","2020-07-07"
"000007311","2.00","2020-07-07"
"000007312","1.00","2020-07-07"
"000007313","1.00","2020-07-07"
"000007314","1.00","2020-07-07"
"000007315","1.00","2020-07-07"
"000007316","1.00","2020-07-07"
"000007317","1.00","2020-07-07"
"000007318","1.00","2020-07-07"
"000007319","1.00","2020-07-08"
"000007320","1.00","2020-07-08"
"000007321","1.00","2020-07-08"
"000007322","1.00","2020-07-08"
"000007323","1.00","2020-07-08"
"000007324","1.00","2020-07-08"
"000007325","1.00","2020-07-08"
"000007326","1.00","2020-07-08"
"000007328","1.00","2020-07-09"
"000007329","1.00","2020-07-09"
"000007330","1.00","2020-07-09"
"000007331","1.00","2020-07-09"
"000007332","1.00","2020-07-09"
"000007333","1.00","2020-07-09"
"000007334","2.00","2020-07-09"
"000007335","1.00","2020-07-09"
"000007336","2.00","2020-07-09"
"000007337","1.00","2020-07-09"
"000007338","2.00","2020-07-10"
"000007339","1.00","2020-07-10"
"000007340","1.00","2020-07-10"
"000007341","1.00","2020-07-10"
"000007342","1.00","2020-07-10"
"000007344","1.00","2020-07-10"
"000007345","1.00","2020-07-11"
"000007346","1.00","2020-07-11"
"000007347","1.00","2020-07-11"
"000007348","1.00","2020-07-11"
"000007349","1.00","2020-07-11"
"000007350","2.00","2020-07-11"
"000007351","1.00","2020-07-11"
"000007352","1.00","2020-07-11"
"000007353","1.00","2020-07-11"
