"ANEXO N° 01";"";"";"";""
"";"";"";"";""
"“TARIFARIO DE PROCEDIMIENTOS MÉDICOS Y SANITARIOS DEL SEGURO INTEGRAL DE SALUD""";"";"";"";""
"";"";"";"";""
"";"";"";"TARIFA S/";""
"N°";"COD";"Denominación";"II Nivel";"III Nivel"
"1";"00107";"Anestesia endovenosa para realizar procedimientos fuera de Sala de Operaciones";"5.85";"5.85"
"2";"01987";"Evaluación preanestésica";"5.57";"5.57"
"3";"10060";"Incisión y drenaje";"20.77";"20.77"
"4";"10080";"Incisión y drenaje de Quiste pilonidal simple";"21.04";"21.04"
"5";"10120";"Incisión y retiro de cuerpo extraño de tejido subcutáneo";"21.12";"21.12"
"6";"10140";"Incisión y drenaje de hematoma, seroma o colecciones de fluídos";"20.82";"20.82"
"7";"10160";"Punción aspirativa de absceso, hematoma, quiste";"22.65";"22.72"
"8";"11000";"Desbridamiento de eccema o infección de la piel";"22.59";"22.65"
"9";"11010";"Debridamiento de piel y tejido subcutáneo, incluyendo remoción de cuerpos extraños asociados con fractura(s) y/o dislocadura(s) abierta(s)";"127.37";"127.59"
"10";"11011";"Debridamiento de piel, tejido subcutáneo, fascia muscular y músculo, incluyendo remoción de cuerpos extraños asociados con fractura(s) y/o dislocadura(s) abierta(s)";"228.98";"229.18"
"11";"11012";"Debridamiento de piel, tejido subcutáneo, fascia muscular, músculo y hueso, incluyendo remoción de cuerpos extraños asociados con fractura(s) y/o dislocadura(s) abierta(s)";"286.46";"286.65"
"12";"11042";"Limpieza quirúrgica";"125.48";"125.58"
"13";"11055";"Descamado o corte de lesión(es) hiperqueratósica(s) benigna(s)";"3.4";"3.44"
"14";"11100";"Biopsia de piel, tejido subcutáneo y/o mucosa, lesión única";"21.3";"21.42"
"15";"11200";"Extirpación de verrugas blandas, pólipos fibrocutáneos múltiples, cualquier zona hasta 15 lesiones";"3.52";"3.56"
"16";"11300";"Afeitado de lesión epidérmica o dérmica";"3.22";"3.25"
"17";"11400";"Excisión de lesión benigna, excepto de verrugas blandas";"51";"51.04"
